date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:32	25350/25350	---MCZ	200	added ('OK')	text/html	etag:%226306-599e978259d3f-gzip%22	https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/index2.html	C:/My%20Web%20Sites/APP/educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/index2.html	(from )
10:20:32	150/150	---MCZ	200	added ('OK')	text/plain	etag:%22148-599e970cbbc05-gzip%22	https://educa.ibge.gov.br/robots.txt		(from )
10:20:32	16449/16449	---MCZ	200	added ('OK')	text/css	etag:%224041-599e979488886-gzip%22	https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/pure/pure-min.css	C:/My%20Web%20Sites/APP/educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/pure/pure-min.css	(from https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/index2.html)
10:20:32	8032/8032	---MCZ	200	added ('OK')	text/css	etag:%221f60-599e97948849e-gzip%22	https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/pure/grids-responsive-min.css	C:/My%20Web%20Sites/APP/educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/pure/grids-responsive-min.css	(from https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/index2.html)
10:20:33	8698/8698	---MCZ	200	added ('OK')	text/css	etag:%2221fa-599e97932f917-gzip%22	https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/css/stylesheet.a412381d.css	C:/My%20Web%20Sites/APP/educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/css/stylesheet.a412381d.css	(from https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/index2.html)
10:20:33	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:%2215283-599e97948a7c6-gzip%22	https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/vendor/jquery.min.js	C:/My%20Web%20Sites/APP/educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/vendor/jquery.min.js	(from https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/index2.html)
10:20:33	20613/20613	---MCZ	200	added ('OK')	application/javascript	etag:%225085-5c71a5eb04c0e-gzip%22	https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/scripts/main.b5ed466c.js	C:/My%20Web%20Sites/APP/educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/scripts/main.b5ed466c.js	(from https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/index2.html)
10:20:34	25392/25392	---MCZ	200	added ('OK')	font/woff2	etag:%226330-599e97933146f-gzip%22	https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/css/luckiestguy-webfont.woff2	C:/My%20Web%20Sites/APP/educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/css/luckiestguy-webfont.woff2	(from https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/css/stylesheet.a412381d.css)
10:20:34	33296/33296	---MCZ	200	added ('OK')	font/woff	etag:%228210-599e979332027-gzip%22	https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/css/luckiestguy-webfont.woff	C:/My%20Web%20Sites/APP/educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/css/luckiestguy-webfont.woff	(from https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/css/stylesheet.a412381d.css)
10:20:34	135584/135584	---MCZ	200	added ('OK')	image/png	etag:%22211a0-599e97942e725-gzip%22	https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/img/splash.png	C:/My%20Web%20Sites/APP/educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/img/splash.png	(from https://educa.ibge.gov.br/templates/ibge_educa_criancas/brincadeiras/ibge_go/dist/css/stylesheet.a412381d.css)
